term_id,term_name,start_date,end_date,term_sequence
2022FA,Fall 2022,2022-08-22,2022-12-16,1
2023SP,Spring 2023,2023-01-17,2023-05-12,2
2023SU,Summer 2023,2023-06-05,2023-08-04,3
2023FA,Fall 2023,2023-08-21,2023-12-15,4
2024SP,Spring 2024,2024-01-16,2024-05-10,5
2024SU,Summer 2024,2024-06-03,2024-08-02,6
2024FA,Fall 2024,2024-08-26,2024-12-13,7
2025SP,Spring 2025,2025-01-21,2025-05-16,8
2025SU,Summer 2025,2025-06-02,2025-08-01,9
2025FA,Fall 2025,2025-08-25,2025-12-12,10
2026SP,Spring 2026,2026-01-20,2026-05-15,11
